,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_inc_price,inc_pct,weekday_pct,fancy_car_user,city_Carthag,city_Harko,phone_iPhone,first_month_cat_more_1_trip,first_month_cat_no_trips,month_5_still_here
0,9.03,5.0,4.0,1.13,50.0,100.0,False,0,0,1,0,0,0
1,17.34,5.0,4.0,1.0,0.0,0.0,False,0,0,1,0,1,1
2,21.13,5.0,1.0,1.0,0.0,100.0,False,0,0,1,0,0,0
3,7.92,5.0,4.7,1.0,0.0,100.0,True,0,1,0,0,1,1
4,1.46,4.5,5.0,1.0,0.0,100.0,False,1,0,1,0,0,0
6,1.95,4.4,3.8,1.15,13.3,60.0,True,1,0,1,1,0,0
7,1.93,4.8,4.6,1.21,42.9,64.3,False,0,0,1,1,0,1
9,10.27,3.0,5.0,1.0,0.0,0.0,False,0,0,1,0,1,0
10,5.63,5.0,1.0,1.0,0.0,50.0,False,0,1,0,1,0,0
12,13.2,5.0,5.0,1.25,50.0,100.0,False,1,0,1,0,1,0
13,4.86,5.0,4.0,1.0,0.0,33.3,False,0,0,0,0,0,1
14,8.35,5.0,5.0,1.21,16.7,50.0,True,1,0,1,1,0,0
15,2.05,4.8,4.6,1.02,8.3,83.3,False,0,0,1,1,0,1
16,7.0,4.9,4.3,1.23,27.1,25.0,False,0,0,1,1,0,1
17,1.81,4.9,4.9,1.01,1.7,72.4,False,0,1,1,1,0,1
18,4.66,5.0,4.7,1.0,0.0,36.4,True,0,0,0,1,0,1
19,6.43,5.0,4.3,1.44,25.0,50.0,False,0,0,1,0,1,0
20,0.4,3.0,5.0,1.0,0.0,100.0,False,1,0,1,0,1,0
22,7.33,5.0,5.0,1.0,0.0,75.0,False,0,1,1,0,0,1
24,4.03,5.0,5.0,1.19,33.3,55.6,False,0,1,1,0,1,1
26,4.94,4.7,4.0,1.0,0.0,0.0,True,0,0,1,1,0,1
28,1.27,4.7,4.0,1.0,0.0,100.0,False,1,0,1,1,0,0
29,3.18,4.6,5.0,1.18,18.2,54.5,True,0,0,1,0,1,1
30,31.66,5.0,4.7,1.0,0.0,100.0,False,0,1,0,1,0,1
31,3.16,5.0,3.3,1.19,25.0,50.0,False,0,0,1,1,0,0
32,21.3,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,1,0
33,5.54,5.0,5.0,1.0,0.0,100.0,True,0,0,1,0,0,0
34,18.31,2.0,2.0,1.0,0.0,100.0,True,0,0,0,0,0,0
35,2.66,4.9,4.8,1.14,22.2,100.0,False,0,1,0,1,0,0
36,3.98,5.0,5.0,1.0,0.0,60.0,True,1,0,0,1,0,0
38,7.57,5.0,5.0,1.13,25.0,100.0,False,0,0,1,0,0,0
40,7.74,5.0,5.0,1.0,0.0,100.0,False,0,0,0,1,0,0
41,10.96,5.0,4.5,1.0,0.0,100.0,False,0,1,1,0,1,1
42,2.55,5.0,5.0,1.35,40.0,0.0,True,1,0,0,1,0,0
43,18.94,5.0,5.0,1.0,0.0,100.0,False,0,1,1,0,0,0
44,6.53,5.0,3.0,1.0,0.0,75.0,False,0,0,0,0,0,0
46,5.07,5.0,5.0,1.0,0.0,50.0,False,1,0,0,0,1,0
47,4.14,4.8,5.0,1.35,40.0,60.0,False,1,0,1,0,0,1
48,1.93,5.0,5.0,1.0,0.0,75.0,False,0,0,1,1,0,0
49,3.43,4.5,4.3,1.09,5.3,78.9,False,1,0,1,1,0,1
50,4.89,5.0,5.0,1.0,0.0,0.0,True,0,0,1,0,0,0
51,3.64,5.0,4.0,1.0,0.0,50.0,False,0,1,1,0,1,1
52,3.45,4.5,4.5,1.0,0.0,84.6,True,0,0,1,1,0,1
53,2.08,5.0,5.0,1.17,33.3,100.0,False,1,0,1,0,1,0
54,1.27,5.0,5.0,1.0,0.0,100.0,False,1,0,0,0,1,0
55,3.38,5.0,4.7,1.0,0.0,25.0,False,0,1,1,1,0,1
56,2.09,3.8,5.0,1.05,20.0,20.0,True,0,0,1,0,1,1
57,1.55,4.7,3.2,1.14,14.3,42.9,False,0,0,0,1,0,0
58,4.7,4.6,4.7,1.03,5.4,59.5,False,1,0,0,1,0,0
59,4.11,4.7,4.7,1.0,0.0,59.3,True,0,0,0,1,0,1
60,4.78,5.0,5.0,2.0,100.0,0.0,False,1,0,1,0,0,0
61,4.67,5.0,4.0,1.0,0.0,100.0,False,0,0,1,0,0,0
63,2.29,4.5,3.9,1.05,9.1,36.4,False,0,0,1,1,0,1
64,4.72,4.4,5.0,1.0,0.0,40.0,False,0,1,0,0,0,1
65,13.8,5.0,5.0,1.0,0.0,100.0,True,0,0,1,1,0,0
66,4.27,4.2,5.0,1.08,8.3,83.3,True,1,0,1,0,1,0
67,2.01,5.0,4.0,1.0,0.0,0.0,False,1,0,0,0,0,0
68,1.78,4.0,5.0,1.0,0.0,0.0,False,0,0,1,1,0,0
70,5.38,4.8,4.5,1.0,0.0,75.0,False,1,0,1,0,1,1
71,1.92,4.8,5.0,1.19,25.0,0.0,True,0,1,0,1,0,1
74,2.78,4.8,4.7,1.03,11.1,85.2,False,1,0,1,0,1,1
75,8.76,5.0,4.0,1.0,0.0,100.0,True,0,1,1,0,1,1
76,15.57,5.0,3.0,1.0,0.0,100.0,False,1,0,0,0,0,0
77,4.58,4.5,4.7,1.44,50.0,25.0,True,0,1,1,0,0,1
78,6.4,5.0,4.2,1.0,0.0,100.0,True,0,0,1,0,1,1
79,3.14,4.3,4.4,1.0,0.0,76.9,False,0,0,1,1,0,0
81,1.6,5.0,5.0,1.19,22.2,55.6,False,1,0,1,0,0,0
82,3.86,4.8,4.3,1.04,10.0,85.0,False,0,0,1,1,0,1
83,0.99,5.0,5.0,1.0,0.0,0.0,True,0,1,1,1,0,0
85,3.48,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,1,0
86,1.58,4.5,5.0,1.0,0.0,72.7,True,0,0,0,1,0,1
87,1.88,4.6,4.5,1.0,0.0,25.0,False,0,0,1,1,0,0
88,0.5,5.0,5.0,1.0,0.0,0.0,False,0,0,1,0,0,0
89,14.36,4.5,3.0,1.0,0.0,0.0,False,0,0,1,0,1,0
90,9.31,5.0,5.0,1.05,20.0,20.0,True,1,0,1,0,1,0
91,21.5,5.0,4.4,1.0,0.0,42.9,True,1,0,1,1,0,1
92,8.07,3.0,4.0,1.0,0.0,0.0,False,0,0,1,0,0,0
94,2.89,4.8,4.9,1.1,26.7,60.0,True,1,0,1,1,0,1
95,2.24,4.7,4.5,1.32,50.0,70.0,True,0,1,1,1,0,0
96,2.62,4.8,4.3,1.19,25.0,100.0,False,0,1,0,0,1,1
97,3.17,4.8,4.4,1.19,25.0,55.0,False,0,1,1,1,0,1
98,2.12,5.0,5.0,1.0,0.0,100.0,True,0,0,0,1,0,0
99,2.59,5.0,4.7,1.42,33.3,66.7,False,0,1,1,0,1,0
101,3.81,4.6,4.4,1.07,6.7,46.7,False,0,0,1,0,0,1
102,1.77,5.0,5.0,1.0,0.0,33.3,False,0,1,1,1,0,0
104,9.69,5.0,4.0,1.0,0.0,33.3,True,1,0,1,0,0,0
105,3.68,4.6,4.7,1.09,21.4,42.9,True,0,1,0,1,0,1
106,16.13,5.0,5.0,1.0,0.0,80.0,True,0,1,1,0,0,1
107,4.64,5.0,5.0,1.0,0.0,100.0,True,1,0,1,0,1,1
108,0.95,4.2,4.6,1.15,20.0,40.0,False,0,0,1,0,1,1
109,9.05,5.0,4.5,1.17,33.3,33.3,True,1,0,1,0,0,1
110,3.1,5.0,4.7,1.29,33.3,66.7,False,0,1,1,0,1,1
111,7.32,5.0,5.0,1.23,28.6,57.1,True,0,1,1,0,0,1
112,2.28,4.5,4.9,1.0,0.0,80.0,False,0,0,1,1,0,1
113,1.87,4.8,4.8,1.02,9.1,63.6,False,1,0,1,0,1,1
114,3.26,5.0,4.0,1.0,0.0,100.0,True,1,0,0,0,1,0
115,2.66,4.7,4.7,1.05,13.6,31.8,False,0,0,1,1,0,1
116,3.04,5.0,5.0,1.0,0.0,100.0,False,0,1,1,0,0,0
117,5.16,4.0,5.0,1.0,0.0,0.0,True,0,0,0,0,1,1
120,4.41,5.0,5.0,1.0,0.0,0.0,False,0,0,1,0,0,0
122,3.55,4.9,4.6,1.14,11.4,48.6,True,1,0,1,1,0,1
123,4.42,4.8,4.5,1.0,0.0,0.0,False,0,0,1,1,0,0
124,4.72,4.9,4.6,1.04,8.0,92.0,False,0,0,1,1,0,1
125,7.51,5.0,5.0,1.0,0.0,0.0,False,0,0,0,0,0,0
126,6.33,4.7,4.3,1.0,0.0,50.0,False,0,1,0,0,1,1
127,1.84,5.0,3.8,1.0,0.0,50.0,True,1,0,0,1,0,1
128,2.15,5.0,5.0,1.12,7.7,69.2,False,0,1,1,1,0,1
131,13.95,5.0,4.3,1.31,38.5,7.7,False,0,0,1,1,0,1
132,22.75,5.0,5.0,1.0,0.0,0.0,True,1,0,1,1,0,1
134,2.21,4.5,5.0,1.08,14.3,75.3,False,0,0,1,1,0,1
135,4.7,5.0,4.5,1.38,50.0,50.0,False,1,0,0,0,1,0
136,2.91,4.9,4.5,1.14,18.2,100.0,False,1,0,1,1,0,0
137,6.16,4.7,4.2,1.06,15.4,46.2,False,0,0,1,1,0,1
140,5.02,4.8,4.0,1.0,0.0,75.0,True,0,0,1,0,0,1
143,3.82,4.9,5.0,1.0,0.0,71.4,True,1,0,1,0,1,1
144,5.4,5.0,4.2,1.0,0.0,80.0,True,0,0,1,0,1,1
145,6.62,3.5,4.0,1.0,0.0,75.0,False,0,0,1,0,1,0
146,7.38,4.8,4.3,1.06,11.1,61.1,False,0,0,1,1,0,1
147,1.57,3.0,4.5,1.0,0.0,0.0,True,0,0,1,0,1,0
148,4.42,5.0,1.0,1.0,0.0,50.0,False,0,0,1,0,1,1
149,2.95,5.0,3.0,1.0,0.0,50.0,False,0,0,1,0,1,0
151,4.15,4.7,4.3,1.1,16.7,33.3,False,0,0,1,1,0,0
152,9.92,5.0,5.0,1.33,33.3,66.7,False,0,0,1,1,0,0
153,3.13,4.0,5.0,1.0,0.0,0.0,False,0,1,1,0,1,1
154,5.37,4.8,3.5,1.0,0.0,50.0,True,0,0,0,1,0,0
156,3.51,5.0,5.0,1.15,20.0,100.0,False,1,0,0,1,0,0
158,2.1,5.0,5.0,1.0,0.0,0.0,False,0,1,0,0,0,0
160,12.9,4.6,5.0,1.04,8.3,8.3,True,0,1,0,1,0,1
161,4.27,4.6,4.5,1.0,0.0,100.0,False,1,0,1,0,1,0
162,13.52,5.0,4.7,1.0,0.0,25.0,False,0,0,1,1,0,0
163,2.22,4.8,4.3,1.5,25.0,0.0,False,1,0,1,0,1,1
165,12.82,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,1,1
166,1.26,4.8,5.0,1.02,2.6,66.2,True,0,1,1,1,0,1
167,15.08,5.0,2.0,1.0,0.0,0.0,False,0,0,1,0,1,0
168,5.42,5.0,4.5,1.0,0.0,0.0,True,0,0,0,1,0,0
170,1.47,5.0,4.3,1.0,0.0,100.0,True,1,0,0,0,0,0
171,3.2,4.8,5.0,1.0,0.0,15.4,True,0,0,1,0,1,1
172,22.42,4.7,4.0,1.0,0.0,100.0,True,0,1,1,1,0,1
173,0.99,5.0,5.0,1.0,0.0,0.0,False,0,0,1,0,0,0
174,2.84,5.0,4.7,1.14,22.2,55.6,False,1,0,0,1,0,0
175,1.86,4.6,4.1,1.09,14.8,70.4,True,1,0,1,1,0,1
176,7.62,4.5,4.4,1.06,10.0,50.0,True,0,0,1,1,0,1
177,22.51,5.0,5.0,1.0,0.0,0.0,False,0,1,1,0,1,0
179,1.72,4.5,4.0,1.0,0.0,0.0,True,0,0,0,0,1,0
180,2.75,4.8,4.9,1.0,0.0,38.5,True,0,0,1,1,0,1
182,6.48,4.6,4.0,1.0,0.0,60.0,False,1,0,1,0,1,1
183,5.94,5.0,5.0,1.75,100.0,100.0,False,0,0,1,0,1,0
185,2.48,5.0,4.0,1.0,0.0,85.7,True,0,0,1,0,1,1
186,3.26,4.6,2.7,1.0,0.0,42.9,False,1,0,1,1,0,1
187,2.57,5.0,3.6,1.0,0.0,45.5,False,1,0,1,1,0,1
188,5.53,5.0,5.0,1.0,0.0,100.0,False,1,0,1,0,0,0
189,14.92,5.0,5.0,1.0,0.0,0.0,False,0,0,1,0,0,0
190,5.23,4.7,4.9,1.02,3.6,57.1,True,1,0,1,1,0,1
191,0.77,5.0,4.0,1.0,0.0,0.0,False,0,1,0,0,1,1
192,2.65,4.0,4.0,1.0,0.0,100.0,True,0,0,1,0,1,1
193,8.07,4.5,5.0,1.03,8.0,72.0,True,0,0,1,1,0,1
194,0.0,4.0,3.0,1.0,0.0,100.0,False,0,0,0,0,0,0
195,5.3,4.7,4.3,1.01,3.3,40.0,True,0,0,0,1,0,1
196,0.49,4.3,4.0,1.0,0.0,0.0,False,0,0,1,0,1,0
197,8.66,5.0,5.0,1.0,0.0,80.0,False,0,0,1,1,0,0
199,1.82,5.0,5.0,1.0,0.0,100.0,True,1,0,1,0,0,0
200,2.69,4.4,5.0,1.0,0.0,40.0,False,1,0,0,1,0,0
201,1.96,5.0,4.0,1.0,0.0,100.0,True,0,0,1,1,0,0
203,0.01,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,0,0
204,1.53,4.6,4.0,1.0,0.0,46.4,True,0,1,1,0,1,1
206,16.52,5.0,5.0,1.0,0.0,66.7,True,1,0,1,0,0,1
207,1.97,4.6,4.3,1.08,12.5,37.5,False,0,0,1,1,0,1
208,2.48,5.0,5.0,1.13,50.0,100.0,False,0,0,1,0,1,0
209,2.58,4.5,3.7,1.07,11.8,70.6,True,1,0,1,0,0,1
210,4.87,4.6,4.6,1.09,14.3,64.3,False,0,0,1,1,0,1
212,12.78,3.3,5.0,1.0,0.0,83.3,True,1,0,1,1,0,0
213,2.91,4.7,5.0,1.0,0.0,33.3,False,1,0,0,0,0,1
214,4.65,5.0,5.0,1.0,0.0,0.0,False,0,1,1,0,0,0
215,4.55,4.7,5.0,1.0,0.0,100.0,False,0,1,1,0,0,1
216,6.26,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,1,0
217,3.71,4.9,4.9,1.12,15.8,47.4,False,0,1,0,0,1,1
218,4.9,5.0,5.0,1.0,0.0,0.0,False,0,0,0,0,0,0
219,5.71,4.7,4.8,1.0,0.0,50.0,False,0,0,1,1,0,1
220,4.59,4.9,4.8,1.09,17.2,79.3,False,1,0,1,1,0,0
223,0.43,5.0,4.0,1.0,0.0,0.0,True,0,0,1,1,0,0
224,17.63,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,1,0
225,4.08,5.0,5.0,1.44,50.0,50.0,False,1,0,1,0,1,1
226,5.61,5.0,5.0,1.0,0.0,75.0,True,0,1,0,1,0,0
227,3.81,5.0,4.0,1.0,0.0,100.0,False,1,0,1,1,0,0
228,3.64,4.8,3.9,1.07,8.0,76.0,True,1,0,1,1,0,1
229,1.85,4.3,4.0,1.0,0.0,16.7,False,0,0,0,0,1,0
230,0.23,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,1,0
231,13.18,5.0,5.0,1.0,0.0,100.0,True,0,0,1,1,0,0
232,1.7,4.8,4.5,1.1,14.3,90.5,False,1,0,1,1,0,1
233,2.8,4.8,5.0,1.05,4.5,72.7,True,1,0,1,1,0,1
234,4.13,4.8,4.6,1.01,3.2,48.4,True,0,0,1,1,0,1
235,4.8,4.8,4.3,1.0,0.0,40.0,False,0,1,1,0,1,0
236,2.29,5.0,4.0,1.0,0.0,66.7,True,0,0,1,0,1,1
238,8.92,4.0,4.5,1.0,0.0,100.0,False,0,0,1,0,1,1
239,2.23,4.7,3.4,1.0,0.0,28.6,False,0,0,0,0,1,1
240,3.85,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,0,0
241,13.85,5.0,4.0,1.0,0.0,100.0,False,0,1,0,0,0,0
242,1.97,5.0,4.7,1.0,0.0,75.0,False,1,0,0,0,1,0
243,3.73,4.7,5.0,1.0,0.0,33.3,True,0,1,1,1,0,1
244,4.07,5.0,5.0,1.0,0.0,0.0,False,1,0,1,0,1,1
245,4.78,5.0,4.0,1.0,0.0,100.0,False,1,0,1,0,1,1
246,0.69,5.0,4.5,1.0,0.0,100.0,False,0,0,1,1,0,0
247,15.39,4.5,4.2,1.25,33.3,100.0,True,1,0,1,0,0,1
248,4.44,5.0,4.4,1.0,0.0,85.7,False,0,1,1,1,0,1
249,4.65,4.7,5.0,1.0,0.0,78.9,False,1,0,0,1,0,1
250,1.32,4.8,5.0,1.0,0.0,75.0,False,1,0,1,0,1,0
251,5.3,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,1,0
252,6.96,5.0,5.0,1.0,0.0,0.0,False,0,0,1,0,0,0
253,3.53,4.8,4.7,1.0,0.0,74.1,False,0,0,1,1,0,0
254,6.98,4.9,4.9,1.16,27.3,75.8,True,0,1,1,1,0,1
255,3.36,3.7,4.5,1.0,0.0,57.1,False,1,0,1,0,0,1
257,1.52,5.0,5.0,1.0,0.0,100.0,False,0,1,1,0,0,1
258,1.83,5.0,5.0,1.0,0.0,100.0,True,0,1,1,1,0,1
259,3.81,4.5,3.0,1.0,0.0,50.0,False,0,0,0,0,0,0
260,11.18,4.5,5.0,1.0,0.0,75.0,False,0,0,0,0,0,1
261,1.63,4.0,4.4,1.06,11.1,77.8,True,0,1,1,0,1,1
263,4.29,4.7,5.0,1.0,0.0,0.0,False,1,0,1,0,0,1
264,5.23,4.8,4.3,1.0,0.0,50.0,True,0,0,1,0,1,1
265,8.04,5.0,4.5,1.0,0.0,100.0,True,0,1,1,0,1,1
266,29.4,5.0,4.5,1.0,0.0,100.0,True,0,0,1,0,1,0
268,4.29,4.7,5.0,1.0,0.0,100.0,False,0,0,1,0,1,0
269,1.52,4.5,5.0,1.0,0.0,100.0,False,1,0,1,0,1,0
270,14.43,5.0,4.0,1.0,0.0,0.0,False,1,0,0,0,0,0
273,0.79,5.0,5.0,1.0,0.0,0.0,False,1,0,0,1,0,0
274,29.91,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,0,0
275,2.5,3.8,5.0,1.0,0.0,33.3,False,0,0,1,0,1,1
276,4.98,5.0,5.0,1.0,0.0,37.5,False,0,1,0,1,0,1
277,2.95,5.0,4.0,1.0,0.0,0.0,False,0,1,1,0,1,0
278,13.25,4.6,4.3,1.0,0.0,85.7,True,0,0,0,0,0,1
279,1.62,5.0,5.0,1.0,0.0,33.3,False,0,0,1,1,0,0
280,6.87,5.0,4.5,1.0,0.0,66.7,False,0,1,1,0,1,1
282,13.44,4.7,5.0,1.0,0.0,100.0,False,0,0,0,1,0,0
283,6.12,5.0,4.7,1.0,0.0,50.0,True,1,0,0,0,1,0
284,0.72,4.0,5.0,1.0,0.0,100.0,False,0,0,0,1,0,0
285,9.02,5.0,5.0,1.0,0.0,50.0,False,0,1,1,0,0,0
286,5.28,5.0,4.0,1.0,0.0,50.0,False,1,0,0,0,1,1
287,5.58,4.8,4.5,1.0,0.0,100.0,False,0,1,1,0,1,1
288,7.18,4.9,4.4,1.08,5.9,55.9,True,0,0,1,1,0,1
289,1.89,5.0,5.0,1.0,0.0,0.0,True,0,1,1,0,1,1
290,10.41,5.0,4.9,1.0,0.0,71.4,False,0,0,1,0,1,1
291,8.93,5.0,5.0,1.0,0.0,66.7,True,1,0,1,1,0,0
295,2.22,4.8,4.3,1.11,21.7,69.6,False,1,0,1,1,0,0
296,0.95,5.0,2.0,1.0,0.0,100.0,False,1,0,1,0,1,1
297,2.58,4.7,4.5,1.2,21.1,36.8,False,0,0,1,1,0,1
298,3.07,4.9,4.7,1.19,22.2,55.6,False,0,1,1,0,1,0
299,14.0,5.0,5.0,1.0,0.0,0.0,False,1,0,1,0,1,0
300,2.53,5.0,5.0,1.0,0.0,100.0,True,1,0,0,1,0,0
301,10.92,5.0,4.3,1.06,25.0,75.0,False,0,1,1,0,1,0
302,79.69,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,0,0
303,8.19,4.7,4.4,1.03,5.7,39.6,True,0,0,0,1,0,1
304,6.04,4.5,4.8,1.0,0.0,50.0,False,0,0,1,0,1,0
305,26.03,4.3,5.0,1.0,0.0,100.0,True,1,0,1,0,1,1
306,4.42,4.7,4.8,1.04,7.7,70.9,False,0,0,1,1,0,1
307,6.08,4.8,4.8,1.0,0.0,91.7,True,0,0,1,0,0,1
309,2.3,5.0,5.0,1.0,0.0,100.0,True,0,0,1,0,1,1
310,4.12,4.9,5.0,1.04,9.5,76.2,True,1,0,1,1,0,1
312,0.02,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,0,0
313,2.79,4.8,4.9,1.12,11.8,52.9,False,0,0,1,1,0,1
314,6.64,4.7,3.0,1.21,42.9,57.1,False,1,0,0,1,0,1
315,1.45,5.0,4.4,1.11,5.0,75.0,False,0,0,1,0,0,1
316,3.4,4.5,4.1,1.04,7.1,84.3,True,0,1,1,1,0,1
319,7.0,4.7,3.5,1.0,0.0,71.4,True,0,0,1,1,0,0
320,14.34,5.0,5.0,1.0,0.0,20.0,True,0,1,0,1,0,1
321,1.34,5.0,5.0,1.15,20.0,60.0,False,0,0,0,1,0,0
322,3.44,5.0,5.0,1.0,0.0,0.0,False,0,0,1,0,1,0
323,1.98,3.7,5.0,1.67,33.3,0.0,True,0,0,1,0,1,1
324,4.75,4.4,3.0,1.0,0.0,60.0,False,0,0,0,1,0,0
325,2.69,5.0,5.0,1.08,33.3,100.0,False,1,0,1,1,0,0
326,6.58,5.0,5.0,1.0,0.0,100.0,True,0,0,1,0,0,0
327,6.13,5.0,5.0,1.0,0.0,0.0,False,0,0,1,0,0,0
328,4.77,4.8,5.0,1.25,40.0,40.0,False,0,0,0,1,0,1
330,4.28,5.0,4.9,1.0,0.0,100.0,False,0,0,1,1,0,0
331,2.99,4.7,2.6,1.0,0.0,60.0,False,0,0,0,1,0,1
333,12.79,4.3,4.1,1.0,0.0,56.0,True,0,0,1,1,0,1
334,7.83,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,1,1
